connector,total ops,Apps Script implemented ops,owner,squad,status,PR link,test link
twilio,0,0,TBD,TBD,TBD,,
typeform,0,0,TBD,TBD,TBD,,
victorops,0,0,TBD,TBD,TBD,,
webex,0,0,TBD,TBD,TBD,,
webflow,0,0,TBD,TBD,TBD,,
woocommerce,0,0,TBD,TBD,TBD,,
workday,0,0,TBD,TBD,TBD,,
workfront,0,0,TBD,TBD,TBD,,
xero,0,0,TBD,TBD,TBD,,
zendesk,0,0,TBD,TBD,TBD,,
zoho-books,0,0,TBD,TBD,TBD,,
zoho-crm,0,0,TBD,TBD,TBD,,
zoom-enhanced,0,0,TBD,TBD,TBD,,
